Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,gene (exp),instrument_name (run),Instrument,Library Name,library_strategy (exp),LibraryLayout,LibrarySelection,LibrarySource,material_type (exp),Organism,Platform,project (exp),project (run),region (run),ReleaseDate,run_barcode (run),run_name (run),Sample Name,screened (run),SRA Study,work_request (exp),work_request (run),geographic_location_(country_and/or_sea,region),gssr_id (exp),gssr_id (run),isolation_source,lsid (exp),lsid (run),sample_name,strain,Collection_Date,specific_host,sample_type (exp),gssr_ids (exp),gssr_ids (run)
SRR578350,AMPLICON,579,1460254,PRJNA82111,SAMN01737426,3254402,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190706,16S V3-V5 region,pop,454 GS FLX Titanium,99009408,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8138,G8138,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7298,yes,SRP015953,23265,23265,missing,68758.1,68758.1,missing,BROAD:SEQUENCING_SAMPLE:68758.1,BROAD:SEQUENCING_SAMPLE:68758.1,7298,missing,,,,,,
SRR578351,AMPLICON,598,2713385,PRJNA82111,SAMN01737457,5996060,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190611,16S V3-V5 region,pop,454 GS FLX Titanium,97797878,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8024,G8024,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100105,yes,SRP015953,23264,23264,missing,68644.1,68644.1,missing,BROAD:SEQUENCING_SAMPLE:68644.1,BROAD:SEQUENCING_SAMPLE:68644.1,100105,missing,,,,,,
SRR578352,AMPLICON,516,2375195,PRJNA82111,SAMN01737505,5499722,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190583,16S V3-V5 region,pop,454 GS FLX Titanium,99443809,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8255,G8255,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7141,yes,SRP015953,23468,23468,missing,71113.1,71113.1,missing,BROAD:SEQUENCING_SAMPLE:71113.1,BROAD:SEQUENCING_SAMPLE:71113.1,7141,missing,,,,,,
SRR578353,AMPLICON,539,4336110,PRJNA82111,SAMN01737524,9851523,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190606,16S V3-V5 region,pop,454 GS FLX Titanium,99443818,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8237,G8237,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7085,yes,SRP015953,23468,23468,missing,71095.1,71095.1,missing,BROAD:SEQUENCING_SAMPLE:71095.1,BROAD:SEQUENCING_SAMPLE:71095.1,7085,missing,,,,,,
SRR578354,AMPLICON,594,2748626,PRJNA82111,SAMN01737447,6079858,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190579,16S V3-V5 region,pop,454 GS FLX Titanium,97797907,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G7992,G7992,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100058,yes,SRP015953,23264,23264,missing,68612.1,68612.1,missing,BROAD:SEQUENCING_SAMPLE:68612.1,BROAD:SEQUENCING_SAMPLE:68612.1,100058,missing,,,,,,
SRR578355,AMPLICON,491,1148129,PRJNA82111,SAMN01737510,2747263,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190669,16S V3-V5 region,pop,454 GS FLX Titanium,99443828,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8226,G8226,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7039,yes,SRP015953,23468,23468,missing,71084.1,71084.1,missing,BROAD:SEQUENCING_SAMPLE:71084.1,BROAD:SEQUENCING_SAMPLE:71084.1,7039,missing,,,,,,
SRR578356,AMPLICON,553,5863354,PRJNA82111,SAMN01737548,13204478,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190601,16S V3-V5 region,pop,454 GS FLX Titanium,99443821,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8234,G8234,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7265,yes,SRP015953,23468,23468,missing,71092.1,71092.1,missing,BROAD:SEQUENCING_SAMPLE:71092.1,BROAD:SEQUENCING_SAMPLE:71092.1,7265,missing,,,,,,
SRR578357,AMPLICON,570,8550,PRJNA82111,SAMN01737600,57921,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190519,16S V3-V5 region,pop,454 GS FLX Titanium,97797862,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8043,G8043,1,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100157,yes,SRP015953,23264,23264,missing,68663.1,68663.1,missing,BROAD:SEQUENCING_SAMPLE:68663.1,BROAD:SEQUENCING_SAMPLE:68663.1,100157,missing,,,,,,
SRR578358,AMPLICON,546,6406401,PRJNA82111,SAMN01737432,14488328,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190635,16S V3-V5 region,pop,454 GS FLX Titanium,99443159,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8270,G8270,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7200,yes,SRP015953,23468,23468,missing,71128.1,71128.1,missing,BROAD:SEQUENCING_SAMPLE:71128.1,BROAD:SEQUENCING_SAMPLE:71128.1,7200,missing,,,,,,
SRR578359,AMPLICON,533,5263529,PRJNA82111,SAMN01737561,12000724,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190684,16S V3-V5 region,pop,454 GS FLX Titanium,99443823,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8221,G8221,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7018,yes,SRP015953,23468,23468,missing,71079.1,71079.1,missing,BROAD:SEQUENCING_SAMPLE:71079.1,BROAD:SEQUENCING_SAMPLE:71079.1,7018,missing,,,,,,
SRR578360,AMPLICON,566,1798997,PRJNA82111,SAMN01737408,4045814,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190582,16S V3-V5 region,pop,454 GS FLX Titanium,99009261,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8160,G8160,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7664,yes,SRP015953,23265,23265,missing,68780.1,68780.1,missing,BROAD:SEQUENCING_SAMPLE:68780.1,BROAD:SEQUENCING_SAMPLE:68780.1,7664,missing,,,,,,
SRR578361,AMPLICON,596,3158899,PRJNA82111,SAMN01737502,6953430,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190546,16S V3-V5 region,pop,454 GS FLX Titanium,99009376,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8078,G8078,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.100198,yes,SRP015953,23265,23265,missing,68698.1,68698.1,missing,BROAD:SEQUENCING_SAMPLE:68698.1,BROAD:SEQUENCING_SAMPLE:68698.1,100198,missing,,,,,,
SRR578362,AMPLICON,373,1075297,PRJNA82111,SAMN01737579,2871055,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190679,16S V3-V5 region,pop,454 GS FLX Titanium,99443790,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8265,G8265,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7233,yes,SRP015953,23468,23468,missing,71123.1,71123.1,missing,BROAD:SEQUENCING_SAMPLE:71123.1,BROAD:SEQUENCING_SAMPLE:71123.1,7233,missing,,,,,,
SRR578363,AMPLICON,593,3118606,PRJNA82111,SAMN01737488,6879827,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190595,16S V3-V5 region,pop,454 GS FLX Titanium,99009313,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8116,G8116,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7879,yes,SRP015953,23265,23265,missing,68736.1,68736.1,missing,BROAD:SEQUENCING_SAMPLE:68736.1,BROAD:SEQUENCING_SAMPLE:68736.1,7879,missing,,,,,,
SRR578364,AMPLICON,552,6254842,PRJNA82111,SAMN01737498,14071204,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190715,16S V3-V5 region,pop,454 GS FLX Titanium,99443794,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8261,G8261,1,2012-10-01T00:00:00Z,7.38414E+11,austinfirstjdcRun738414,PRJNA82111.7164,yes,SRP015953,23468,23468,missing,71119.1,71119.1,missing,BROAD:SEQUENCING_SAMPLE:71119.1,BROAD:SEQUENCING_SAMPLE:71119.1,7164,missing,,,,,,
SRR578365,AMPLICON,590,2638513,PRJNA82111,SAMN01737443,5830599,BI,public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX190701,16S V3-V5 region,pop,454 GS FLX Titanium,99009302,targeted-locus,SINGLE,PCR,METAGENOMIC,Genomic DNA,human gut metagenome,LS454,G8118,G8118,2,2012-10-01T00:00:00Z,7.38355E+11,DRmonRUN738355,PRJNA82111.7904,yes,SRP015953,23265,23265,missing,68738.1,68738.1,missing,BROAD:SEQUENCING_SAMPLE:68738.1,BROAD:SEQUENCING_SAMPLE:68738.1,7904,missing,,,,,,
