Run,analysis_type (exp),analysis_type (run),Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,flowcell_barcode (run),geo_loc_name_country,geo_loc_name_country_continent,GEOGRAPHIC_LOCATION,gssr_id (exp),gssr_id (run),instrument_name (run),Instrument,isolation_source,lane (run),Library Name,library_type (exp),library_type (run),LibraryLayout,LibrarySelection,LibrarySource,lsid (exp),lsid (run),material_type (exp),Organism,Platform,project (exp),project (run),read_group_id (run),ReleaseDate,root_sample_id (exp),root_sample_id (run),run_barcode (run),run_name (run),sample_id (exp),Sample_ID (run),Sample Name,sample_name,screened (run),specific_host,SRA Study,strain,work_request (exp),work_request (run)
SRR1915587,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,6319600,PRJNA269954,SAMN03396815,3580375,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956564,A11TC,uncalculated,uncalculated,missing,194984,194984,SL-MAG,Illumina MiSeq,missing,1,Solexa-110809,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJFG,broadinstitute.org:bsp.prod.sample:2QJFG,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19594,G19594,A11TC.1,2015-03-13T00:00:00Z,SM-2QJFG,SM-2QJFG,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJFG,SM-2QJFG,PRJNA269954.N00709,N00709,yes,missing,SRP056002,missing,32025,32025
SRR1915589,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,7975450,PRJNA269954,SAMN03396805,4369900,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956566,A11TC,uncalculated,uncalculated,missing,195006,195006,SL-MAG,Illumina MiSeq,missing,1,Solexa-110811,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJG4,broadinstitute.org:bsp.prod.sample:2QJG4,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19616,G19616,A11TC.1,2015-03-13T00:00:00Z,SM-2QJG4,SM-2QJG4,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJG4,SM-2QJG4,PRJNA269954.N00791,N00791,yes,missing,SRP056002,missing,32025,32025
SRR1915590,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,6293350,PRJNA269954,SAMN03396849,3541675,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956567,A11TC,uncalculated,uncalculated,missing,195036,195036,SL-MAG,Illumina MiSeq,missing,1,Solexa-110812,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJGY,broadinstitute.org:bsp.prod.sample:2QJGY,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19646,G19646,A11TC.1,2015-03-13T00:00:00Z,SM-2QJGY,SM-2QJGY,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJGY,SM-2QJGY,PRJNA269954.N00850,N00850,yes,missing,SRP056002,missing,32025,32025
SRR1915592,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,7592900,PRJNA269954,SAMN03396890,4251374,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956569,A11TC,uncalculated,uncalculated,missing,194895,194895,SL-MAG,Illumina MiSeq,missing,1,Solexa-110798,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJCY,broadinstitute.org:bsp.prod.sample:2QJCY,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19507,G19507,A11TC.1,2015-03-13T00:00:00Z,SM-2QJCY,SM-2QJCY,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJCY,SM-2QJCY,PRJNA269954.N00584,N00584,yes,missing,SRP056002,missing,32025,32025
SRR1915595,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,9156350,PRJNA269954,SAMN03396793,5200916,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956571,A11TC,uncalculated,uncalculated,missing,194896,194896,SL-MAG,Illumina MiSeq,missing,1,Solexa-110799,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJCZ,broadinstitute.org:bsp.prod.sample:2QJCZ,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19508,G19508,A11TC.1,2015-03-13T00:00:00Z,SM-2QJCZ,SM-2QJCZ,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJCZ,SM-2QJCZ,PRJNA269954.N00586,N00586,yes,missing,SRP056002,missing,32025,32025
SRR1915597,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,11082050,PRJNA269954,SAMN03396918,6106102,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956575,A11TC,uncalculated,uncalculated,missing,194919,194919,SL-MAG,Illumina MiSeq,missing,1,Solexa-110803,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJDN,broadinstitute.org:bsp.prod.sample:2QJDN,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19531,G19531,A11TC.1,2015-03-13T00:00:00Z,SM-2QJDN,SM-2QJDN,A11TC120824,120824_M00158_0039_AFC000000000-A11TC,SM-2QJDN,SM-2QJDN,PRJNA269954.N00612,N00612,yes,missing,SRP056002,missing,32025,32025
SRR1915696,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,1046150,PRJNA269954,SAMN03397791,734324,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956591,A0V63,uncalculated,uncalculated,missing,194997,194997,SL-MAB,Illumina MiSeq,missing,1,Solexa-96478,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJFT,broadinstitute.org:bsp.prod.sample:2QJFT,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19607,G19607,A0V63.1,2015-03-13T00:00:00Z,SM-2QJFT,SM-2QJFT,A0V63120618,120618_SL-MAB_0096_AMS2002574-00300,SM-2QJFT,SM-2QJFT,PRJNA269954.N00773,N00773,yes,missing,SRP056002,missing,30958,30958
SRR1915810,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,612850,PRJNA269954,SAMN03397826,468303,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956788,A117G,uncalculated,uncalculated,missing,195168,195168,SL-MAB,Illumina MiSeq,missing,1,Solexa-95712,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQMO,broadinstitute.org:bsp.prod.sample:2NQMO,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19759,G19759,A117G.1,2015-03-13T00:00:00Z,SM-2NQMO,SM-2NQMO,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQMO,SM-2NQMO,PRJNA269954.N00422,N00422,yes,missing,SRP056002,missing,30916,30916
SRR1915812,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,1053150,PRJNA269954,SAMN03397832,751163,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956790,A117G,uncalculated,uncalculated,missing,195161,195161,SL-MAB,Illumina MiSeq,missing,1,Solexa-95705,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQMH,broadinstitute.org:bsp.prod.sample:2NQMH,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19752,G19752,A117G.1,2015-03-13T00:00:00Z,SM-2NQMH,SM-2NQMH,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQMH,SM-2NQMH,PRJNA269954.N00415,N00415,yes,missing,SRP056002,missing,30916,30916
SRR1915814,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,959700,PRJNA269954,SAMN03397845,698050,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956792,A117G,uncalculated,uncalculated,missing,195202,195202,SL-MAB,Illumina MiSeq,missing,1,Solexa-95746,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQNP,broadinstitute.org:bsp.prod.sample:2NQNP,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19793,G19793,A117G.1,2015-03-13T00:00:00Z,SM-2NQNP,SM-2NQNP,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQNP,SM-2NQNP,PRJNA269954.N00458,N00458,yes,missing,SRP056002,missing,30916,30916
SRR1915815,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,705600,PRJNA269954,SAMN03397848,527600,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956793,A117G,uncalculated,uncalculated,missing,195231,195231,SL-MAB,Illumina MiSeq,missing,1,Solexa-95774,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQOK,broadinstitute.org:bsp.prod.sample:2NQOK,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19822,G19822,A117G.1,2015-03-13T00:00:00Z,SM-2NQOK,SM-2NQOK,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQOK,SM-2NQOK,PRJNA269954.N00490,N00490,yes,missing,SRP056002,missing,30916,30916
SRR1915818,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,1056300,PRJNA269954,SAMN03397825,750496,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956797,A117G,uncalculated,uncalculated,missing,195084,195084,SL-MAB,Illumina MiSeq,missing,1,Solexa-95820,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQOZ,broadinstitute.org:bsp.prod.sample:2NQOZ,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19677,G19677,A117G.1,2015-03-13T00:00:00Z,SM-2NQOZ,SM-2NQOZ,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQOZ,SM-2NQOZ,PRJNA269954.N00505,N00505,yes,missing,SRP056002,missing,30916,30916
SRR1915820,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,1162000,PRJNA269954,SAMN03397877,824240,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956794,A117G,uncalculated,uncalculated,missing,195230,195230,SL-MAB,Illumina MiSeq,missing,1,Solexa-95773,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2NQOJ,broadinstitute.org:bsp.prod.sample:2NQOJ,DNA:DNA Genomic,human gut metagenome,ILLUMINA,G19821,G19821,A117G.1,2015-03-13T00:00:00Z,SM-2NQOJ,SM-2NQOJ,A117G120614,120614_SL-MAB_0095_AMS2002465-00300,SM-2NQOJ,SM-2NQOJ,PRJNA269954.N00489,N00489,yes,missing,SRP056002,missing,30916,30916
SRR1915900,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,700,PRJNA269954,SAMN03396786,81389,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956856,A111L,uncalculated,uncalculated,missing,194937,194937,SL-MAC,Illumina MiSeq,missing,1,Solexa-96415,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJE6,broadinstitute.org:bsp.prod.sample:2QJE6,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19549,G19549,A111L.1,2015-03-13T00:00:00Z,SM-2QJE6,SM-2QJE6,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJE6,SM-2QJE6,PRJNA269954.N00633,N00633,yes,missing,SRP056002,missing,30958,30958
SRR1915901,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,350,PRJNA269954,SAMN03396811,79062,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956857,A111L,uncalculated,uncalculated,missing,194902,194902,SL-MAC,Illumina MiSeq,missing,1,Solexa-96454,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJD6,broadinstitute.org:bsp.prod.sample:2QJD6,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19514,G19514,A111L.1,2015-03-13T00:00:00Z,SM-2QJD6,SM-2QJD6,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJD6,SM-2QJD6,PRJNA269954.N00594,N00594,yes,missing,SRP056002,missing,30958,30958
SRR1915903,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,700,PRJNA269954,SAMN03396921,81402,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956859,A111L,uncalculated,uncalculated,missing,194985,194985,SL-MAC,Illumina MiSeq,missing,1,Solexa-96466,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJFH,broadinstitute.org:bsp.prod.sample:2QJFH,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19595,G19595,A111L.1,2015-03-13T00:00:00Z,SM-2QJFH,SM-2QJFH,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJFH,SM-2QJFH,PRJNA269954.N00710,N00710,yes,missing,SRP056002,missing,30958,30958
SRR1915905,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,350,PRJNA269954,SAMN03396827,79055,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956861,A111L,uncalculated,uncalculated,missing,194908,194908,SL-MAC,Illumina MiSeq,missing,1,Solexa-96455,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJDC,broadinstitute.org:bsp.prod.sample:2QJDC,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19520,G19520,A111L.1,2015-03-13T00:00:00Z,SM-2QJDC,SM-2QJDC,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJDC,SM-2QJDC,PRJNA269954.N00600,N00600,yes,missing,SRP056002,missing,30958,30958
SRR1915906,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,1050,PRJNA269954,SAMN03396808,82601,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956862,A111L,uncalculated,uncalculated,missing,194925,194925,SL-MAC,Illumina MiSeq,missing,1,Solexa-96439,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJDT,broadinstitute.org:bsp.prod.sample:2QJDT,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19537,G19537,A111L.1,2015-03-13T00:00:00Z,SM-2QJDT,SM-2QJDT,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJDT,SM-2QJDT,PRJNA269954.N00621,N00621,yes,missing,SRP056002,missing,30958,30958
SRR1915908,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,350,PRJNA269954,SAMN03396903,79017,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956864,A111L,uncalculated,uncalculated,missing,194899,194899,SL-MAC,Illumina MiSeq,missing,1,Solexa-96410,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJD3,broadinstitute.org:bsp.prod.sample:2QJD3,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19511,G19511,A111L.1,2015-03-13T00:00:00Z,SM-2QJD3,SM-2QJD3,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJD3,SM-2QJD3,PRJNA269954.N00591,N00591,yes,missing,SRP056002,missing,30958,30958
SRR1915909,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,350,PRJNA269954,SAMN03396917,79259,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956865,A111L,uncalculated,uncalculated,missing,194892,194892,SL-MAC,Illumina MiSeq,missing,1,Solexa-96379,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJCV,broadinstitute.org:bsp.prod.sample:2QJCV,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19504,G19504,A111L.1,2015-03-13T00:00:00Z,SM-2QJCV,SM-2QJCV,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJCV,SM-2QJCV,PRJNA269954.N00579,N00579,yes,missing,SRP056002,missing,30958,30958
SRR1915911,AssemblyWithoutReference,AssemblyWithoutReference,AMPLICON,350,350,PRJNA269954,SAMN03396797,79204,BI,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX956867,A111L,uncalculated,uncalculated,missing,194894,194894,SL-MAC,Illumina MiSeq,missing,1,Solexa-96426,WholeGenomeShotgun,WholeGenomeShotgun,PAIRED,PCR,METAGENOMIC,broadinstitute.org:bsp.prod.sample:2QJCX,broadinstitute.org:bsp.prod.sample:2QJCX,DNA:DNA Somatic,human gut metagenome,ILLUMINA,G19506,G19506,A111L.1,2015-03-13T00:00:00Z,SM-2QJCX,SM-2QJCX,A111L120613,120613_SL-MAC_0078_AMS2002554-00300,SM-2QJCX,SM-2QJCX,PRJNA269954.N00581,N00581,yes,missing,SRP056002,missing,30958,30958
