Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,host_subject_ID,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR8056877,AMPLICON,350,2438800,PRJNA436359,SAMN10242374,Metagenome or environmental,1735869,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886520,USA,North America,USA,Homo sapiens,G96014_SubjectID_327,Illumina MiSeq,G96014,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96014,SRP165757
SRR8056878,AMPLICON,350,12752950,PRJNA436359,SAMN10242375,Metagenome or environmental,8593528,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886519,USA,North America,USA,Homo sapiens,G96013_SubjectID_8371,Illumina MiSeq,G96013,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96013,SRP165757
SRR8056879,AMPLICON,350,54621000,PRJNA436359,SAMN10242376,Metagenome or environmental,36608519,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886518,USA,North America,USA,Homo sapiens,G96012_SubjectID_8371,Illumina MiSeq,G96012,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96012,SRP165757
SRR8056880,AMPLICON,350,3273550,PRJNA436359,SAMN10242377,Metagenome or environmental,2272305,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886517,USA,North America,USA,Homo sapiens,G96011_SubjectID_7319,Illumina MiSeq,G96011,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96011,SRP165757
SRR8056881,AMPLICON,350,84137200,PRJNA436359,SAMN10242378,Metagenome or environmental,56590457,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886516,USA,North America,USA,Homo sapiens,G96010_SubjectID_11732,Illumina MiSeq,G96010,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G96010,SRP165757
SRR8056882,AMPLICON,350,19703950,PRJNA436359,SAMN10242530,Metagenome or environmental,12430235,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886515,USA,North America,USA,Homo sapiens,G94419_SubjectID_5463,Illumina MiSeq,G94419,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94419,SRP165757
SRR8056883,AMPLICON,350,36863400,PRJNA436359,SAMN10242529,Metagenome or environmental,23142805,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886514,USA,North America,USA,Homo sapiens,G94416_SubjectID_5964,Illumina MiSeq,G94416,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94416,SRP165757
SRR8056884,AMPLICON,350,6203750,PRJNA436359,SAMN10242536,Metagenome or environmental,3012880,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886513,USA,North America,USA,Homo sapiens,G75012_SubjectID_14232,Illumina MiSeq,G75012,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75012,SRP165757
SRR8056885,AMPLICON,350,5682600,PRJNA436359,SAMN10242535,Metagenome or environmental,2641649,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886512,USA,North America,USA,Homo sapiens,G75011_SubjectID_274,Illumina MiSeq,G75011,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75011,SRP165757
SRR8056886,AMPLICON,350,3266550,PRJNA436359,SAMN10242534,Metagenome or environmental,1581032,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886511,USA,North America,USA,Homo sapiens,G75010_SubjectID_6259,Illumina MiSeq,G75010,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75010,SRP165757
SRR8056887,AMPLICON,350,4440450,PRJNA436359,SAMN10242533,Metagenome or environmental,2171390,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886510,USA,North America,USA,Homo sapiens,G75019_SubjectID_1545,Illumina MiSeq,G75019,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75019,SRP165757
SRR8056888,AMPLICON,350,25702600,PRJNA436359,SAMN10242732,Metagenome or environmental,16262158,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886509,USA,North America,USA,Homo sapiens,G94431_SubjectID_8816,Illumina MiSeq,G94431,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94431,SRP165757
SRR8056889,AMPLICON,350,5503050,PRJNA436359,SAMN10242547,Metagenome or environmental,3975010,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886508,USA,North America,USA,Homo sapiens,G104193_SubjectID_2458,Illumina MiSeq,G104193,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G104193,SRP165757
SRR8056890,AMPLICON,350,19222350,PRJNA436359,SAMN10241787,Metagenome or environmental,10558297,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886507,USA,North America,USA,Homo sapiens,G75135_SubjectID_1119,Illumina MiSeq,G75135,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75135,SRP165757
SRR8056891,AMPLICON,350,20224400,PRJNA436359,SAMN10241788,Metagenome or environmental,11493260,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886506,USA,North America,USA,Homo sapiens,G75134_SubjectID_14523,Illumina MiSeq,G75134,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75134,SRP165757
SRR8056892,AMPLICON,350,2037700,PRJNA436359,SAMN10242548,Metagenome or environmental,1190342,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886505,USA,North America,USA,Homo sapiens,G108829_SubjectID_11052,Illumina MiSeq,G108829,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G108829,SRP165757
SRR8056893,AMPLICON,350,19018650,PRJNA436359,SAMN10241779,Metagenome or environmental,12606822,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886504,USA,North America,USA,Homo sapiens,G94716_SubjectID_9660,Illumina MiSeq,G94716,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94716,SRP165757
SRR8056894,AMPLICON,350,47876150,PRJNA436359,SAMN10241780,Metagenome or environmental,31487774,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886503,USA,North America,USA,Homo sapiens,G94717_SubjectID_2087,Illumina MiSeq,G94717,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94717,SRP165757
SRR8056895,AMPLICON,350,43064000,PRJNA436359,SAMN10241781,Metagenome or environmental,28167091,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886502,USA,North America,USA,Homo sapiens,G94714_SubjectID_5366,Illumina MiSeq,G94714,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94714,SRP165757
SRR8056896,AMPLICON,350,18156950,PRJNA436359,SAMN10241782,Metagenome or environmental,9893553,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886501,USA,North America,USA,Homo sapiens,G75044_SubjectID_1178,Illumina MiSeq,G75044,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75044,SRP165757
SRR8056897,AMPLICON,350,54063450,PRJNA436359,SAMN10241783,Metagenome or environmental,35272924,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886500,USA,North America,USA,Homo sapiens,G94600_SubjectID_3159,Illumina MiSeq,G94600,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94600,SRP165757
SRR8056898,AMPLICON,350,4315150,PRJNA436359,SAMN10241784,Metagenome or environmental,2060338,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886499,USA,North America,USA,Homo sapiens,G75001_SubjectID_3800,Illumina MiSeq,G75001,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75001,SRP165757
SRR8056899,AMPLICON,350,28528850,PRJNA436359,SAMN10241785,Metagenome or environmental,18563480,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886498,USA,North America,USA,Homo sapiens,G94626_SubjectID_9687,Illumina MiSeq,G94626,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94626,SRP165757
SRR8056900,AMPLICON,350,23266950,PRJNA436359,SAMN10241786,Metagenome or environmental,13094654,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886497,USA,North America,USA,Homo sapiens,G75136_SubjectID_14523,Illumina MiSeq,G75136,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G75136,SRP165757
SRR8056901,AMPLICON,350,76336400,PRJNA436359,SAMN10242031,Metagenome or environmental,49939734,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886496,USA,North America,USA,Homo sapiens,G94721_SubjectID_6060,Illumina MiSeq,G94721,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94721,SRP165757
SRR8056902,AMPLICON,350,45144400,PRJNA436359,SAMN10242032,Metagenome or environmental,29759728,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886495,USA,North America,USA,Homo sapiens,G94720_SubjectID_2648,Illumina MiSeq,G94720,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94720,SRP165757
SRR8056903,AMPLICON,350,37275350,PRJNA436359,SAMN10242029,Metagenome or environmental,24474947,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886494,USA,North America,USA,Homo sapiens,G94723_SubjectID_12293,Illumina MiSeq,G94723,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94723,SRP165757
SRR8056904,AMPLICON,350,18514300,PRJNA436359,SAMN10242030,Metagenome or environmental,12748410,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886493,USA,North America,USA,Homo sapiens,G94722_SubjectID_519,Illumina MiSeq,G94722,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94722,SRP165757
SRR8056905,AMPLICON,350,24119900,PRJNA436359,SAMN10242035,Metagenome or environmental,15738160,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886492,USA,North America,USA,Homo sapiens,G94724_SubjectID_3939,Illumina MiSeq,G94724,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94724,SRP165757
SRR8056906,AMPLICON,350,57401750,PRJNA436359,SAMN10242036,Metagenome or environmental,37487810,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886491,USA,North America,USA,Homo sapiens,G94729_SubjectID_2682,Illumina MiSeq,G94729,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94729,SRP165757
SRR8056907,AMPLICON,350,69731550,PRJNA436359,SAMN10242033,Metagenome or environmental,45755005,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886490,USA,North America,USA,Homo sapiens,G94727_SubjectID_8477,Illumina MiSeq,G94727,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94727,SRP165757
SRR8056908,AMPLICON,350,51153900,PRJNA436359,SAMN10242034,Metagenome or environmental,33496068,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886489,USA,North America,USA,Homo sapiens,G94726_SubjectID_5796,Illumina MiSeq,G94726,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94726,SRP165757
SRR8056909,AMPLICON,350,9453500,PRJNA436359,SAMN10242074,Metagenome or environmental,4564063,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886488,USA,North America,USA,Homo sapiens,G93247_SubjectID_4196,Illumina MiSeq,G93247,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G93247,SRP165757
SRR8056910,AMPLICON,350,8763650,PRJNA436359,SAMN10242073,Metagenome or environmental,4475312,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886487,USA,North America,USA,Homo sapiens,G93244_SubjectID_1935,Illumina MiSeq,G93244,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G93244,SRP165757
SRR8056911,AMPLICON,350,25906650,PRJNA436359,SAMN10242037,Metagenome or environmental,16890225,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886486,USA,North America,USA,Homo sapiens,G94728_SubjectID_1108,Illumina MiSeq,G94728,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94728,SRP165757
SRR8056912,AMPLICON,350,3497200,PRJNA436359,SAMN10242038,Metagenome or environmental,1713581,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886485,USA,North America,USA,Homo sapiens,G74967_SubjectID_1527,Illumina MiSeq,G74967,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G74967,SRP165757
SRR8056913,AMPLICON,350,72214100,PRJNA436359,SAMN10241769,Metagenome or environmental,50628157,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886484,USA,North America,USA,Homo sapiens,G94394_SubjectID_15259,Illumina MiSeq,G94394,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94394,SRP165757
SRR8056914,AMPLICON,350,78639400,PRJNA436359,SAMN10241770,Metagenome or environmental,55175712,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886483,USA,North America,USA,Homo sapiens,G94392_SubjectID_9473,Illumina MiSeq,G94392,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94392,SRP165757
SRR8056915,AMPLICON,350,157817450,PRJNA436359,SAMN10241771,Metagenome or environmental,111178797,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886482,USA,North America,USA,Homo sapiens,G94393_SubjectID_2522,Illumina MiSeq,G94393,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94393,SRP165757
SRR8056916,AMPLICON,350,22882300,PRJNA436359,SAMN10241772,Metagenome or environmental,16185324,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886481,USA,North America,USA,Homo sapiens,G94391_SubjectID_829,Illumina MiSeq,G94391,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94391,SRP165757
SRR8056917,AMPLICON,350,6827100,PRJNA436359,SAMN10242287,Metagenome or environmental,4314053,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886480,USA,North America,USA,Homo sapiens,G94518_SubjectID_2429,Illumina MiSeq,G94518,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94518,SRP165757
SRR8056918,AMPLICON,350,8274700,PRJNA436359,SAMN10242288,Metagenome or environmental,5114581,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886479,USA,North America,USA,Homo sapiens,G94519_SubjectID_7002,Illumina MiSeq,G94519,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G94519,SRP165757
SRR8056919,AMPLICON,350,4415950,PRJNA436359,SAMN10242283,Metagenome or environmental,2642337,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886478,USA,North America,USA,Homo sapiens,G90195_SubjectID_15124,Illumina MiSeq,G90195,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G90195,SRP165757
SRR8056920,AMPLICON,350,1840650,PRJNA436359,SAMN10242284,Metagenome or environmental,1035532,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886477,USA,North America,USA,Homo sapiens,G90190_SubjectID_14224,Illumina MiSeq,G90190,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G90190,SRP165757
SRR8056921,AMPLICON,350,109399500,PRJNA436359,SAMN10242285,Metagenome or environmental,63771622,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886476,USA,North America,USA,Homo sapiens,G90191_SubjectID_3104,Illumina MiSeq,G90191,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G90191,SRP165757
SRR8056922,AMPLICON,350,39742850,PRJNA436359,SAMN10242286,Metagenome or environmental,23010226,HARVARD T.H. CHAN SCHOOL OF PUBLIC HEALTH,2012/2016,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4886475,USA,North America,USA,Homo sapiens,G90193_SubjectID_8559,Illumina MiSeq,G90193,PAIRED,PCR,GENOMIC,human gut metagenome,ILLUMINA,2018-10-15T00:00:00Z,G90193,SRP165757
